SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.09261200036,49,47.9,-1.1,-2.3,5.3,"45,700",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.08035857355,57.3,58.4,1.1,2,5.2,"45,130",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.1215638996,16.5,17,0.5,3,1.9,"47,010",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.09298818715,598,598.1,0.1,0,69.9,"47,460",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9071,Jewelers and Precious Stone and Metal Workers,0.1193385645,35.1,33.2,-1.9,-5.5,4,"49,140",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-9081,Dental Laboratory Technicians,0.05364815905,35.2,33.6,-1.6,-4.7,3.9,"48,310",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9082,Medical Appliance Technicians,0.04348085006,12,12.4,0.4,3.7,1.5,"47,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9083,Ophthalmic Laboratory Technicians,0.07939615431,19.6,20,0.5,2.3,2.4,"38,420",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9111,Packaging and Filling Machine Operators and Tenders,0.02005312933,381.2,398.2,17,4.5,45.3,"40,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9123,"Painting, Coating, and Decorating Workers",0.09665773109,8.8,8.9,0.1,1.4,0.8,"40,860",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.05118615715,165.5,166.7,1.2,0.7,15.8,"47,590",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9141,Semiconductor Processing Technicians,0.1051886322,31.9,35.4,3.5,10.9,3.9,"51,180",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9151,Photographic Process Workers and Processing Machine Operators,0.128163705,11.2,10.9,-0.3,-2.6,1.5,"40,100",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
51-9161,Computer Numerically Controlled Tool Operators,0.2234113963,177.1,158.1,-19,-10.7,13.5,"49,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9162,Computer Numerically Controlled Tool Programmers,0.440023692,28.3,31.9,3.6,12.8,3.1,"65,670",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,
51-9191,Adhesive Bonding Machine Operators and Tenders,0.116166106,12.2,12.3,0.1,1,1.3,"45,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.05324664933,14.6,15.2,0.5,3.6,1.6,"41,460",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9193,Cooling and Freezing Equipment Operators and Tenders,0.1103922278,7.1,7.6,0.5,7.2,0.8,"40,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9194,Etchers and Engravers,0.08699697617,8.6,8.6,-0.1,-0.7,0.9,"40,450",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",0.09653639297,41.7,44.3,2.6,6.2,5.5,"45,690",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",0.09088825729,97.5,91.4,-6.1,-6.3,8.1,"49,390",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9197,Tire Builders,0.0117650505,20.9,21.4,0.5,2.3,2.5,"55,580",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9198,Helpers--Production Workers,0.0214759054,168.5,153.5,-15,-8.9,23.6,"38,220",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-1041,Aircraft Cargo Handling Supervisors,0.1103238862,10.3,10.8,0.5,5.2,1.1,"63,940",High school diploma or equivalent,7,Less than 5 years,2,None,
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",0.1814542214,609.6,632.2,22.5,3.7,61.3,"61,890",High school diploma or equivalent,7,Less than 5 years,2,None,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.1158693879,100,103.9,3.9,3.9,11.7,"226,600",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,
53-2012,Commercial Pilots,0.1791388741,55.4,58.3,2.8,5.1,6.6,"122,670",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,
53-2021,Air Traffic Controllers,0.1749893911,24.1,24.4,0.3,1.2,2.2,"144,580",Associate's degree,4,None,4,Long-term on-the-job training,
53-2022,Airfield Operations Specialists,0.206499216,16.9,17.6,0.7,4.2,1.6,"56,750",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
53-2031,Flight Attendants,0.3012598442,130.8,142.9,12.1,9.2,19.8,"67,130",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.04733102629,12.3,12.1,-0.2,-1.3,1.4,"34,330",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-3031,Driver/Sales Workers,0.07393256783,451.5,491.3,39.8,8.8,51.3,"37,130",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.1433250717,"2,235.10","2,324.40",89.3,4,237.6,"57,440",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
53-3033,Light Truck Drivers,0.1289825573,"1,079.80","1,158.60",78.9,7.3,120.2,"44,140",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-3051,"Bus Drivers, School",0.1647568653,387.3,388.2,0.9,0.2,61,"47,040",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-3052,"Bus Drivers, Transit and Intercity",0.2381095469,158.8,165.6,6.8,4.3,20.9,"57,440",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-3053,Shuttle Drivers and Chauffeurs,0.1541066685,243.9,260.3,16.4,6.7,36.3,"36,670",No formal educational credential,8,None,4,Short-term on-the-job training,
53-3054,Taxi Drivers,0.2014615831,204,226.6,22.6,11.1,22.6,"36,220",No formal educational credential,8,None,4,Short-term on-the-job training,
53-4011,Locomotive Engineers,0.1265517523,27,27.2,0.2,0.7,2.2,"77,400",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.1346073709,3.1,3.1,0,0.3,0.2,"58,030",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.03372425754,11,11.1,0.1,1,1,"65,480",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-4031,Railroad Conductors and Yardmasters,0.1550595367,36.8,37.2,0.4,1.1,3.1,"74,080",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-4041,Subway and Streetcar Operators,0.125979648,9.6,9.9,0.3,3.4,0.9,"84,830",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-5011,Sailors and Marine Oilers,0.06448880475,32.1,32.8,0.7,2.3,3.9,"49,610",No formal educational credential,8,None,4,Moderate-term on-the-job training,
53-5021,"Captains, Mates, and Pilots of Water Vessels",0.1372183542,40.7,40.9,0.2,0.5,4.3,"85,540",Postsecondary nondegree award,5,Less than 5 years,2,None,
53-5022,Motorboat Operators,0.002931753499,2.7,2.8,0,1.4,0.3,"51,880",Postsecondary nondegree award,5,Less than 5 years,2,None,
53-5031,Ship Engineers,0.02494753374,8.8,9,0.1,1.6,1.1,"101,320",Postsecondary nondegree award,5,Less than 5 years,2,None,
53-6011,Bridge and Lock Tenders,0,2.9,2.8,-0.1,-3.3,0.3,"58,490",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-6021,Parking Attendants,0.221438624,135.7,139.8,4,3,18.5,"34,600",No formal educational credential,8,None,4,Short-term on-the-job training,
53-6031,Automotive and Watercraft Service Attendants,0.04418720519,100,99,-1,-1,14.4,"34,850",No formal educational credential,8,None,4,Short-term on-the-job training,
53-6032,Aircraft Service Attendants,0.07816068433,28,29.5,1.4,5.1,4.3,"41,540",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-6041,Traffic Technicians,0.1299246744,7.9,8.2,0.3,3.7,0.8,"58,480",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-6051,Transportation Inspectors,0.1335520411,25.7,26.1,0.4,1.7,2.5,"85,750",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-6061,Passenger Attendants,0.472999433,25.6,26.8,1.2,4.7,4.1,"37,560",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
53-7011,Conveyor Operators and Tenders,0.05208675285,29.1,28.1,-1,-3.4,2.6,"41,230",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7021,Crane and Tower Operators,0.07141351725,42.3,43.5,1.3,3,3.8,"66,370",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
53-7031,Dredge Operators,0,1.1,1.2,0,1.2,0.1,"48,430",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-7041,Hoist and Winch Operators,0.08108038953,2.7,2.7,0,-1.1,0.3,"52,310",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7051,Industrial Truck and Tractor Operators,0.01309585788,792.5,801.6,9.1,1.1,76.4,"46,390",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7061,Cleaners of Vehicles and Equipment,0.03875246814,410.1,426.2,16,3.9,56.2,"35,270",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0.05387316573,"2,988.90","3,033.10",44.3,1.5,384.3,"38,940",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7063,Machine Feeders and Offbearers,0.01937599324,46.5,40.4,-6,-13,4.7,"39,700",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7064,"Packers and Packagers, Hand",0.06972382391,591.8,559.7,-32.2,-5.4,74,"35,580",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7065,Stockers and Order Fillers,0.1229677134,"2,764.80","2,999.80",235,8.5,472.3,"37,090",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7071,Gas Compressor and Gas Pumping Station Operators,0.009922593243,5.4,5.3,-0.1,-1.3,0.6,"71,510",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-7072,"Pump Operators, Except Wellhead Pumpers",0.1468871965,13.1,13.5,0.3,2.6,1.5,"60,020",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
53-7073,Wellhead Pumpers,0.08253136266,18.8,17.9,-0.9,-4.7,2,"70,010",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
53-7081,Refuse and Recyclable Material Collectors,0.0461200037,147.9,149.2,1.3,0.9,16.9,"48,350",No formal educational credential,8,None,4,Short-term on-the-job training,
53-7121,"Tank Car, Truck, and Ship Loaders",0.07991824525,12,12.5,0.5,4.3,1.3,"58,070",No formal educational credential,8,None,4,Short-term on-the-job training,
