"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist","=""29-2031""","64.7","66.6","1.9","3.0","3.8","67,260","Associate's degree","4","None","4","None","6"
"Career/technical education teachers, middle school    * Junior High School Business Teacher* Middle School Technology Education Teacher","=""25-2023""","14.0","13.8","-0.3","-2.0","0.9","63,620","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, postsecondary    * Architectural Drafting Instructor* Automotive Technology Instructor* Aviation Maintenance Instructor* Barbering Instructor* Building Trades Instructor* Carpentry Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Instructor* Electrical Technology Instructor* Electronics Technology Instructor* HVAC Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor","=""25-1194""","122.2","123.0","0.8","0.7","8.8","61,490","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Cosmetology Teacher","=""25-2032""","103.4","101.5","-1.9","-1.8","6.2","63,910","Bachelor's degree","3","Less than 5 years","2","None","6"
"Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent","=""43-5011""","100.6","109.2","8.6","8.5","8.8","49,900","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer","=""47-2031""","959.0","1,002.1","43.1","4.5","74.1","59,310","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Carpet installers    * Carpet Layer* Commercial Carpet Installer* Residential Carpet Installer* Wall-to-Wall Carpet Installer","=""47-2041""","20.3","18.3","-1.9","-9.6","1.1","49,850","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer","=""17-1021""","13.4","14.3","0.9","6.4","1.0","78,380","Bachelor's degree","3","None","4","None","6"
"Cashiers    * Cash Register Operator* Check Out Cashier* Fare Collector* Grocery Checker* Hotel Dining Room Cashier* Snack Bar Cashier* Toll Booth Operator* Toll Collector","=""41-2011""","3,157.2","2,843.6","-313.6","-9.9","542.6","31,190","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer","=""47-2051""","206.7","210.4","3.8","1.8","14.3","54,660","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Chefs and head cooks    * Banquet Chef* Chef De Cuisine* Chef De Froid* Executive Chef* Head Chef* Kitchen Chef* Master Chef* Pastry Chef* Sous Chef* Sushi Chef","=""35-1011""","197.3","211.3","14.0","7.1","24.4","60,990","High school diploma or equivalent","7","5 years or more","1","None","6"
"Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer","=""17-2041""","21.6","22.1","0.6","2.6","1.1","121,860","Bachelor's degree","3","None","4","None","6"
"Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator","=""51-9011""","128.9","133.1","4.3","3.3","14.4","57,090","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator","=""51-8091""","18.1","17.0","-1.1","-6.1","1.6","73,540","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Chemical technicians    * Assayer* Chemical Laboratory Technician* Inorganic Chemical Technician","=""19-4031""","57.0","59.0","2.1","3.7","6.7","57,790","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor","=""25-1052""","25.4","26.0","0.6","2.2","1.9","86,220","Doctoral or professional degree","1","None","4","None","6"
"Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist","=""19-2031""","86.8","91.0","4.3","4.9","6.3","84,150","Bachelor's degree","3","None","4","None","6"
"Chief executives    * Admiral* CEO* COO* Chief Executive Officer* Chief Financial Officer* Chief Operating Officer* Chief Sustainability Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor* School Superintendent* University President","=""11-1011""","309.4","322.7","13.3","4.3","22.2","206,420","Bachelor's degree","3","5 years or more","1","None","6"
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker","=""21-1021""","399.9","413.3","13.4","3.4","35.1","58,570","Bachelor's degree","3","None","4","None","6"
"Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide","=""39-9011""","991.6","962.4","-29.2","-2.9","160.2","32,050","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Chiropractors    * Chiropractic Doctor* Chiropractic Physician","=""29-1011""","57.2","62.6","5.4","9.5","2.8","79,000","Doctoral or professional degree","1","None","4","None","6"
"Choreographers    * Dance Director* Dance Master","=""27-2032""","4.6","4.9","0.3","6.1","0.7","55,600","High school diploma or equivalent","7","5 years or more","1","Long-term on-the-job training","3"
"Civil engineering technologists and technicians    * Civil Engineering Technician* Civil Engineering Technologist* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician","=""17-3022""","64.9","66.2","1.4","2.1","5.5","64,200","Associate's degree","4","None","4","None","6"
"Civil engineers    * Architectural Engineer* Bridge Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer","=""17-2051""","368.9","387.5","18.5","5.0","23.6","99,590","Bachelor's degree","3","None","4","None","6"
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner","=""13-1031""","356.1","337.9","-18.2","-5.1","21.1","76,790","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Cleaners of vehicles and equipment    * Aircraft Cleaner* Auto Cleaner* Auto Detailer* Automobile Detailer* Beer Coil Cleaner* Boat Detailer* Bus Cleaner* Bus Washer* Car Wash Attendant* Car Washer* Equipment Cleaner* Machine Cleaner* Railroad Car Cleaner* Truck Washer","=""53-7061""","410.1","426.2","16.0","3.9","56.2","35,270","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator","=""51-9192""","14.6","15.2","0.5","3.6","1.6","41,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor","=""21-2011""","262.0","264.6","2.6","1.0","23.0","60,820","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Clinical and counseling psychologists    * Eating Disorder Psychologists* Geropsychologists","=""19-3033""","76.3","84.8","8.5","11.2","4.8","95,830","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Clinical laboratory technologists and technicians","=""29-2010""","351.2","357.2","6.0","1.7","22.6","61,890","Bachelor's degree","3","None","4","None","6"
"Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Coach* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach","=""27-2022""","306.5","326.0","19.5","6.4","41.8","45,920","Bachelor's degree","3","None","4","None","6"
"Coating, painting, and spraying machine setters, operators, and tenders    * Aircraft Painter* Auto Body Painter* Auto Painter* Automobile Body Painter* Automobile Refinisher* Automotive Paint Technician* Automotive Refinish Technician* Automotive Spray Painter* Boat Painter* Electrostatic Paint Operator* Lacquer Spray Booth Operator* Paint Line Operator* Railroad Car Painter* Spraying Machine Operator* Tactical Vehicle Painter","=""51-9124""","165.5","166.7","1.2","0.7","15.8","47,590","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Coil winders, tapers, and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender","=""51-2021""","12.2","11.5","-0.8","-6.3","1.2","47,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Coin, vending, and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler","=""49-9091""","32.5","31.6","-0.9","-2.9","3.5","47,350","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer","=""27-1021""","30.6","31.6","1.0","3.2","2.5","79,450","Bachelor's degree","3","None","4","None","6"
"Commercial divers    * Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder","=""49-9092""","4.2","4.5","0.4","8.5","0.4","61,130","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot","=""53-2012""","55.4","58.3","2.8","5.1","6.6","122,670","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Communications equipment operators, all other    * Communications Equipment Operator* Radio Operator* Telegraph and Teletype Operator* Telex Operator","=""43-2099""","1.4","1.5","0.0","2.5","0.1","49,910","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
